Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,0,.750,468,313,155,9.7,1.3,10.9,7.5,3.5
Buffalo Bills,9,7,0,.563,343,289,54,3.4,1.6,4.9,-0.4,5.3
Miami Dolphins,8,8,0,.500,388,373,15,0.9,1.6,2.6,2.9,-0.4
New York Jets,4,12,0,.250,283,401,-118,-7.4,2.3,-5.0,-4.0,-1.0
Pittsburgh Steelers*,11,5,0,.688,436,368,68,4.3,-2.0,2.2,4.4,-2.1
Cincinnati Bengals+,10,5,1,.656,365,344,21,1.3,-0.6,0.7,-0.5,1.3
Baltimore Ravens+,10,6,0,.625,409,302,107,6.7,-2.1,4.6,1.8,2.8
Cleveland Browns,7,9,0,.438,299,337,-38,-2.4,-1.5,-3.9,-4.8,0.9
Indianapolis Colts*,11,5,0,.688,458,369,89,5.6,-1.1,4.4,5.2,-0.8
Houston Texans,9,7,0,.563,372,307,65,4.1,-2.3,1.7,-0.8,2.5
Jacksonville Jaguars,3,13,0,.188,249,412,-163,-10.2,-0.3,-10.5,-7.8,-2.7
Tennessee Titans,2,14,0,.125,254,438,-184,-11.5,-0.3,-11.8,-7.0,-4.9
Denver Broncos*,12,4,0,.750,482,354,128,8.0,1.6,9.6,9.2,0.4
San Diego Chargers,9,7,0,.563,348,348,0,0.0,1.9,1.9,0.7,1.2
Kansas City Chiefs,9,7,0,.563,353,281,72,4.5,1.2,5.7,0.0,5.7
Oakland Raiders,3,13,0,.188,253,452,-199,-12.4,3.4,-9.0,-4.3,-4.7
Dallas Cowboys*,12,4,0,.750,467,352,115,7.2,-1.8,5.4,5.3,0.1
Philadelphia Eagles,10,6,0,.625,474,400,74,4.6,-0.7,3.9,6.6,-2.7
New York Giants,6,10,0,.375,380,400,-20,-1.3,-0.4,-1.7,0.8,-2.5
Washington Redskins,4,12,0,.250,301,438,-137,-8.6,-0.2,-8.7,-4.0,-4.7
Green Bay Packers*,12,4,0,.750,486,348,138,8.6,-0.3,8.3,7.9,0.4
Detroit Lions+,11,5,0,.688,321,282,39,2.4,-0.4,2.1,-3.2,5.2
Minnesota Vikings,7,9,0,.438,325,343,-18,-1.1,-0.5,-1.7,-2.8,1.1
Chicago Bears,5,11,0,.313,319,442,-123,-7.7,1.0,-6.7,-2.0,-4.7
Carolina Panthers*,7,8,1,.469,339,374,-35,-2.2,-0.9,-3.1,-2.4,-0.7
New Orleans Saints,7,9,0,.438,401,424,-23,-1.4,-1.5,-2.9,1.9,-4.8
Atlanta Falcons,6,10,0,.375,381,417,-36,-2.3,-1.6,-3.8,0.6,-4.4
Tampa Bay Buccaneers,2,14,0,.125,277,410,-133,-8.3,-1.5,-9.8,-6.5,-3.3
Seattle Seahawks*,12,4,0,.750,394,254,140,8.8,0.8,9.5,2.4,7.1
Arizona Cardinals+,11,5,0,.688,310,299,11,0.7,1.3,2.0,-2.4,4.4
San Francisco 49ers,8,8,0,.500,306,340,-34,-2.1,1.2,-1.0,-3.0,2.1
St. Louis Rams,6,10,0,.375,324,354,-30,-1.9,1.0,-0.8,-1.2,0.4
